"Customer_id","Date","Total"
14060,2007-12-31,19.5
14100,2007-12-31,260
14130,2006-10-15,130
14310,2006-11-04,130
14440,2014-10-02,65
14760,2006-09-27,26
14890,2010-02-25,39
15010,2008-04-17,78
15020,2008-12-11,52
15110,2013-12-31,52
15160,2014-04-24,39
15170,2008-12-20,39
15240,2006-12-29,19.5
15280,2006-10-29,65
15330,2011-09-17,104
15450,2006-10-25,65
15580,2006-04-20,19.5
15610,2012-03-17,78
15690,2007-03-09,65
15770,2006-04-21,39
15880,2006-10-25,19.5
16070,2006-10-18,39
16360,2010-10-30,65
16490,2006-04-22,19.5
16660,2013-12-01,7.8
16710,2006-04-22,19.5
16730,2006-04-22,52
16730,2008-08-06,52
16880,2008-11-20,78
17000,2013-12-23,19.5
17050,2006-04-23,26
17140,2006-10-19,39
17160,2006-04-23,2349.1
17290,2009-10-16,130
17330,2008-11-13,39
17330,2010-09-03,13
17940,2013-01-24,26
18250,2008-03-12,104
18460,2006-10-25,19.5
18560,2006-10-07,39
18900,2006-11-24,39
18940,2009-10-16,26
18980,2006-05-06,39
19100,2006-05-10,26
19150,2013-12-31,39
19200,2006-05-24,19.5
19300,2006-08-06,19.5
19350,2013-12-07,26
19410,2006-05-25,19.5
19410,2012-03-01,26
19680,2010-06-26,78
19680,2012-04-19,104
19880,2013-12-12,78
20170,2011-09-15,208
20240,2007-09-09,13
20240,2010-07-10,13
20390,2009-03-20,32.5
20500,2006-08-27,19.5
20520,2010-07-10,65
20530,2007-11-08,39
21510,2014-05-21,39
26310,2008-05-17,65
27250,2011-05-14,26
28360,2012-11-08,39
29980,2012-04-19,130
31940,2007-11-29,39
32320,2007-10-20,65
33190,2007-10-18,65
33790,2008-12-30,130
34500,2014-06-04,650
36500,2013-01-30,39
38000,2012-08-30,52
38460,2007-10-17,39
39610,2013-03-08,26
39920,2008-01-24,65
40410,2007-11-04,39
40410,2015-04-19,65
41800,2011-12-01,130
42750,2013-11-02,26
42900,2008-11-07,2607.8
43780,2012-09-22,65
46490,2008-10-16,26
46490,2011-09-29,26
46590,2006-10-14,39
46800,2006-10-25,19.5
46860,2010-01-23,78
47070,2010-12-31,65
47190,2008-11-22,65
47250,2007-11-14,39
47330,2006-12-20,19.5
47500,2011-04-09,13
47750,2012-12-22,117
47850,2007-01-28,198.185
48580,2011-06-30,65
48940,2008-11-29,39
49190,2009-10-30,39
49190,2010-10-02,39
49360,2012-08-09,65
49360,2013-07-07,65
49370,2010-05-09,39
49600,2007-07-21,78
49610,2009-07-12,39
49620,2007-07-21,39
49890,2009-10-25,65
51020,2007-11-18,26
51070,2011-05-28,78
51140,2008-09-04,19.5
51140,2009-01-17,13
51620,2007-11-21,65
51670,2008-06-26,26
51690,2013-12-31,39
51750,2012-12-16,39
52100,2013-12-07,130
52180,2009-01-28,39
52340,2013-12-21,39
52370,2009-12-31,39
52380,2008-10-02,130
52770,2015-04-19,39
52800,2007-11-29,19.5
52880,2009-12-11,39
52880,2013-12-30,52
53060,2013-01-24,78
53070,2008-01-30,52
53070,2008-10-02,39
53070,2014-06-27,65
53400,2008-06-27,19.5
54170,2011-08-06,910
54660,2007-12-09,65
54840,2014-08-22,39
54870,2010-12-17,65
54940,2009-11-29,26
55080,2014-10-04,91
55100,2007-12-13,26
55160,2007-12-13,39
55530,2011-12-31,19.5
55580,2013-04-12,26
55740,2007-12-14,19.5
55750,2012-07-08,65
55890,2008-10-24,65
55990,2009-12-31,78
55990,2011-12-31,65
56080,2010-11-27,39
56400,2008-10-25,520
56530,2011-09-22,130
56570,2007-12-22,39
56650,2012-12-22,260
56870,2008-10-16,65
56930,2008-04-11,260
57000,2014-10-25,260
57050,2010-12-04,39
57210,2007-12-26,26
57390,2012-07-22,26
57420,2007-12-28,65
57490,2007-12-29,39
57540,2007-12-29,32.5
57550,2007-12-29,78
57650,2007-12-29,39
57730,2007-12-29,19.5
57750,2007-12-29,65
57780,2014-02-01,650
57950,2011-04-16,65
57950,2012-05-03,65
58000,2007-12-30,26
58010,2013-07-07,71.5
58180,2007-12-31,19.5
58260,2011-09-17,39
58300,2011-12-15,19.5
58370,2008-12-06,26
58450,2008-10-09,26
58530,2011-12-17,104
58600,2007-12-31,32.5
58650,2008-12-18,195
58740,2012-08-18,39
58800,2011-12-26,19.5
59120,2010-12-23,52
59150,2011-05-28,39
59170,2007-12-31,26
59200,2007-12-31,39
59220,2013-06-28,65
59320,2007-12-31,26
59350,2009-12-20,52
59970,2010-05-06,39
60300,2013-12-01,130
60460,2007-12-31,65
60480,2009-08-07,65
60550,2012-03-15,65
60570,2012-12-22,39
60570,2014-12-21,39
60640,2014-12-31,65
60680,2008-10-22,39
60950,2011-12-31,65
60980,2012-12-16,65
61290,2008-08-20,52
61360,2007-12-31,19.5
61650,2012-12-30,52
62110,2008-01-20,65
62390,2008-01-24,13
62550,2012-09-27,52
62590,2008-01-24,7.8
62750,2012-01-21,58.5
62850,2014-05-21,39
62860,2008-12-30,19.5
62870,2012-11-24,39
62990,2008-01-26,52
63560,2013-11-23,39
64700,2010-05-06,39
65050,2013-12-31,26
65140,2008-02-27,65
65380,2011-04-21,58.5
65810,2011-03-19,39
65830,2012-03-03,260
65940,2012-03-22,65
65940,2015-05-24,65
66140,2008-03-19,52
66230,2010-03-18,39
66240,2008-03-19,19.5
66320,2008-03-19,65
66480,2008-03-22,26
66580,2012-06-23,65
66630,2013-03-01,19.5
66880,2014-12-20,19.5
66980,2014-12-31,78
67180,2012-04-28,19.5
67350,2013-08-17,58.5
67430,2013-12-27,52
67560,2012-12-30,39
67720,2014-12-31,13
67920,2008-12-20,39
68000,2013-11-29,65
68390,2013-03-10,26
68480,2014-12-04,39
68530,2008-04-11,65
68630,2008-12-19,39
68720,2010-12-23,65
68920,2013-03-03,52
69180,2014-12-31,26
69380,2008-11-20,130
69670,2010-12-11,39
69860,2008-04-19,19.5
70030,2011-12-08,39
70640,2008-04-26,65
70700,2008-12-06,39
72100,2008-05-10,32.5
72290,2008-05-10,65
72690,2008-05-14,26
73250,2008-05-16,65
73400,2008-05-17,26
73680,2008-05-21,45.5
73680,2012-11-08,65
73720,2014-08-28,65
73840,2008-05-21,130
74390,2009-10-02,78
74440,2010-06-09,39
74470,2013-12-12,26
74650,2010-03-25,39
74670,2008-05-31,19.5
75010,2008-06-06,26
75060,2008-06-06,13
75150,2012-12-22,65
75280,2008-06-06,39
75670,2008-06-12,39
75770,2008-06-13,65
75830,2008-06-14,65
75930,2008-06-18,13
75940,2008-06-18,13
75990,2011-12-31,65
76060,2008-10-16,130
76440,2011-05-26,4550
76620,2014-10-23,65
76760,2008-10-04,39
77480,2009-11-14,65
77680,2008-07-10,39
77720,2010-12-04,26
77770,2010-01-07,130
77900,2008-07-10,65
78400,2008-11-22,39
78410,2009-05-15,39
79480,2010-05-20,97.5
79660,2009-04-19,39
80210,2008-08-15,39
80260,2008-08-15,13
80570,2011-12-26,65
80580,2008-08-20,39
80590,2012-12-30,78
80650,2013-09-12,13
80750,2011-10-27,58.5
80840,2009-07-05,32.5
80910,2008-08-23,65
80980,2008-08-23,39
81300,2010-09-03,26
81320,2008-08-27,26
81450,2014-12-31,65
81550,2014-10-25,39
81680,2008-09-04,32.5
81820,2011-12-31,39
81830,2011-02-03,39
81910,2008-09-06,26
82070,2008-09-07,65
82240,2013-02-07,58.5
82390,2010-12-12,65
82600,2013-03-01,104
82670,2014-01-19,26
83080,2012-11-29,39
83120,2010-05-22,1560
83300,2008-09-27,26
83330,2008-09-27,26
83470,2008-10-02,26
83830,2008-10-09,32.5
83890,2009-12-31,39
84120,2010-12-09,32.5
84170,2010-12-29,39
84510,2010-12-19,39
84650,2013-03-15,39
84900,2010-12-23,39
85350,2009-12-31,13
85590,2009-12-31,39
85650,2008-11-02,39
86580,2010-06-03,39
86590,2008-11-12,13
86780,2008-11-13,39
86960,2011-11-13,195
87150,2008-11-20,32.5
87200,2011-12-08,130
87740,2009-10-09,39
87740,2011-12-01,39
87740,2015-04-22,130
88020,2008-11-22,39
88370,2014-12-31,19.5
88950,2014-07-06,169
89010,2009-12-28,78
89230,2008-12-04,58.5
89340,2008-12-04,58.5
89460,2010-06-03,39
89470,2010-11-27,97.5
89650,2011-12-17,130
89860,2008-12-12,32.5
89940,2010-03-25,26
90200,2008-12-18,39
90400,2008-12-19,39
90440,2008-12-19,39
90930,2008-12-26,130
90960,2014-12-04,65
91160,2011-12-31,65
91160,2012-12-30,65
91410,2014-12-31,39
91470,2009-12-31,39
91510,2009-12-31,58.5
91680,2008-12-30,104
91720,2008-12-30,130
92250,2009-12-04,65
92250,2013-12-21,65
92310,2011-05-28,39
92430,2009-01-15,65
92660,2013-11-29,26
92730,2009-01-21,26
93020,2009-01-23,32.5
93060,2009-01-23,19.5
93350,2009-01-30,78
93380,2014-12-31,39
93610,2009-05-23,39
93900,2009-03-20,26
94210,2009-03-26,32.5
94390,2014-10-30,39
94490,2009-04-02,32.5
94580,2013-12-07,39
94820,2009-04-05,13
94820,2014-11-05,26
94860,2009-04-05,260
95220,2013-03-01,78
95250,2015-05-24,13
95450,2011-11-26,78
95800,2010-09-30,39
95880,2010-12-29,39
95980,2013-08-25,39
96050,2009-04-19,19.5
96380,2010-07-31,78
96480,2009-04-23,39
96630,2009-06-12,39
96710,2009-04-24,39
97590,2010-03-20,78
97700,2009-05-02,32.5
97790,2009-05-02,26
98000,2009-05-14,39
98130,2013-10-24,65
98190,2009-05-15,32.5
98290,2009-05-15,39
98300,2009-05-15,39
98320,2013-09-26,104
98330,2009-05-15,19.5
98580,2009-05-23,39
99230,2009-06-07,13
99440,2011-07-02,65
99890,2009-06-18,26
100140,2014-12-31,78
100540,2009-07-02,39
100760,2009-10-04,39
101510,2011-11-19,130
101790,2014-11-13,84.5
102090,2009-12-20,39
102290,2009-07-23,52
103060,2010-11-06,26
103140,2010-01-31,39
103170,2009-08-02,39
103320,2013-04-07,13
103430,2010-11-06,32.5
103620,2009-08-07,32.5
103870,2009-08-13,52
104180,2009-09-11,26
104290,2009-08-23,104
104350,2014-02-28,39
104640,2011-12-28,104
104730,2013-12-23,84.5
105050,2009-09-13,19.5
105430,2009-09-27,32.5
105560,2009-10-02,13
105620,2009-10-04,32.5
105660,2009-10-04,32.5
105710,2009-10-04,32.5
106530,2009-10-16,19.5
106720,2009-10-16,26
106910,2013-12-21,195
106920,2013-06-28,39
107060,2009-10-18,39
107350,2009-10-18,52
107490,2009-10-18,52
107620,2010-11-04,32.5
108280,2012-11-22,26
108280,2013-12-01,26
108350,2010-10-23,52
108410,2010-10-07,39
108450,2009-10-25,39
108500,2010-12-26,39
108970,2012-03-08,195
109100,2013-03-03,13
109180,2009-11-02,39
109290,2009-11-02,650
109360,2009-11-05,13
109380,2010-11-04,52
109480,2013-12-31,65
109600,2009-11-08,26
109930,2009-11-08,19.5
110200,2012-11-02,65
110240,2009-11-13,13
110390,2009-11-14,26
110410,2009-11-14,13
110440,2009-11-14,32.5
110450,2015-04-30,65
110480,2009-11-14,52
110530,2010-12-16,130
111040,2009-11-22,65
111900,2013-10-18,39
112060,2009-12-06,26
112860,2010-12-19,65
112940,2009-12-18,130
112960,2011-11-04,39
112980,2009-12-18,52
113070,2010-09-23,65
113090,2014-09-28,156
113240,2009-12-18,26
113360,2009-12-19,52
113560,2010-02-28,39
113680,2009-12-20,39
113780,2010-12-31,39
113840,2013-12-31,52
114480,2009-12-27,26
114540,2009-12-28,39
114710,2009-12-31,13
114910,2010-12-31,39
115000,2013-12-21,39
115110,2009-12-31,65
115130,2013-05-17,195
115170,2011-11-13,45.5
115170,2012-12-30,65
115300,2009-12-31,26
115400,2012-12-16,65
115460,2012-10-13,39
116170,2010-12-26,65
116310,2011-12-15,26
116330,2011-05-07,52
116470,2010-01-22,13
116600,2011-12-08,65
116610,2011-06-18,52
116700,2010-12-31,19.5
117070,2010-02-06,13
117420,2010-02-18,19.5
117850,2010-02-28,13
118240,2011-05-14,39
118550,2012-04-26,39
118750,2012-04-26,39
119270,2010-04-18,26
120380,2012-09-15,65
120680,2012-04-19,13
120710,2010-12-31,39
121070,2011-12-15,65
121460,2011-10-22,26
121530,2010-05-30,39
121530,2011-12-15,39
121840,2010-06-03,39
122000,2012-05-31,260
123070,2010-06-19,32.5
123170,2010-12-12,26
123200,2015-04-19,19.5
123390,2010-06-26,130
123660,2015-02-14,39
123870,2010-07-08,52
124120,2010-07-10,19.5
124520,2010-12-31,260
124890,2011-09-24,78
125160,2011-03-24,39
126640,2011-12-31,39
126660,2012-12-30,130
128140,2013-06-28,260
128350,2010-10-21,39
129520,2013-10-18,26
129540,2011-10-06,15.6
129670,2014-10-31,13
129740,2010-10-30,39
129790,2011-09-24,39
129800,2012-06-02,130
129920,2010-11-04,39
130070,2012-10-27,91
130130,2012-12-22,130
130830,2010-11-18,65
131220,2014-10-22,97.5
131480,2011-11-24,39
131530,2010-11-26,39
131660,2014-02-23,45.5
132110,2012-12-22,84.5
132260,2010-12-09,52
132300,2014-10-11,91
132420,2011-06-25,65
132670,2010-12-12,39
132930,2013-11-29,13
133190,2011-11-19,26
133390,2013-01-26,13
133420,2010-12-18,39
133480,2010-12-22,26
133540,2010-12-23,39
133810,2009-08-17,39
133830,2010-12-29,65
133980,2010-12-29,26
134170,2010-12-31,65
134350,2013-12-21,130
134690,2010-12-31,39
135000,2013-12-31,65
135440,2011-10-27,78
135620,2013-12-21,78
136320,2011-02-12,26
136500,2011-02-17,19.5
136540,2011-02-17,65
136540,2015-03-29,97.5
136550,2013-02-23,19.5
137260,2011-11-04,39
137750,2011-03-24,13
137760,2014-10-30,260
137910,2011-03-25,130
138570,2014-04-12,52
138710,2013-12-07,117
138710,2014-11-05,117
139050,2012-06-28,65
139090,2012-01-12,130
139390,2012-10-13,65
139740,2012-05-13,78
139980,2011-04-30,39
140310,2011-05-13,78
140630,2011-05-18,26
141230,2013-12-01,325
141270,2012-11-08,19.5
141760,2015-03-29,58.5
141960,2011-06-16,32.5
142070,2011-06-17,32.5
142240,2014-05-24,78
142390,2011-06-23,39
142440,2011-06-23,39
142460,2011-06-23,26
142470,2011-06-23,39
142590,2011-06-25,13
142950,2014-07-10,39
142970,2011-07-02,26
143000,2011-07-02,39
143200,2012-12-01,39
143380,2014-12-31,52
143540,2011-07-09,13
143820,2012-11-08,39
144020,2011-07-15,26
144310,2011-10-13,26
144610,2012-11-09,1300
144970,2013-12-07,260
144820,2013-06-16,65
145000,2012-12-30,39
145450,2013-12-27,117
146040,2011-08-27,26
146050,2011-08-27,104
146050,2013-11-29,182
146850,2014-10-04,39
147400,2011-09-24,58.5
148190,2013-08-05,65
148980,2013-12-12,39
149000,2011-11-13,65
149090,2013-04-07,65
149110,2011-11-16,390
149340,2011-11-19,325
149600,2011-11-24,130
150030,2012-11-24,52
150050,2011-12-04,65
150080,2011-12-04,39
150260,2011-12-08,39
150320,2012-12-30,84.5
150360,2011-12-10,130
150820,2013-12-31,32.5
150900,2014-12-31,65
150990,2011-12-17,65
151030,2011-12-18,26
151080,2013-09-21,65
151210,2012-12-22,39
151400,2013-12-12,26
151440,2014-12-31,65
151890,2014-11-05,97.5
151920,2012-12-22,65
152750,2012-01-20,39
152910,2014-04-05,260
153130,2012-01-28,65
153330,2013-04-12,39
153710,2012-02-11,26
154090,2014-12-31,71.5
154390,2012-09-22,26
154640,2012-03-25,195
154940,2013-09-26,65
155020,2014-12-31,78
155380,2014-02-02,130
156110,2014-04-24,65
156320,2013-02-01,39
156340,2012-06-14,65
156710,2014-10-01,65
156820,2013-03-08,78
156950,2012-07-12,78
156970,2014-12-31,39
158120,2014-10-23,26
158900,2012-11-18,26
159180,2013-12-31,39
159280,2012-08-25,13
159410,2012-09-01,91
160200,2012-10-04,39
161010,2014-12-12,52
161440,2012-11-02,78
161640,2013-08-17,52
162030,2012-11-08,130
162180,2012-11-08,39
162200,2014-08-23,39
162860,2012-11-09,26
163680,2013-10-25,78
163940,2012-11-15,39
164410,2012-11-18,26
164450,2015-06-11,117
164460,2013-11-02,52
164630,2013-09-28,39
164760,2012-11-18,26
165280,2012-11-21,65
165440,2012-11-22,39
165530,2013-10-11,39
166140,2012-11-28,39
166390,2013-10-28,19.5
166620,2014-12-10,26
167070,2014-11-27,39
167360,2012-12-14,58.5
167600,2013-12-31,195
167980,2013-12-20,19.5
168490,2013-12-30,26
169000,2012-12-30,78
169400,2012-12-30,39
170040,2013-01-13,65
170480,2013-01-24,39
158850,2013-02-27,19.5
172080,2013-04-19,26
172340,2013-05-03,19.5
172570,2015-03-12,65
172920,2014-09-04,39
174210,2013-06-09,32.5
174390,2014-01-25,13
174560,2013-06-21,26
174590,2013-06-21,39
174710,2014-11-05,26
174830,2013-06-21,65
175240,2013-06-28,65
176240,2014-04-30,195
176280,2013-06-30,39
176350,2013-06-30,130
177120,2013-07-07,78
178470,2014-01-25,39
179350,2013-08-23,13
179360,2015-05-24,19.5
179640,2013-08-23,39
179800,2014-11-22,58.5
179840,2013-08-25,32.5
180240,2013-09-07,13
180340,2013-09-07,39
180380,2013-09-07,39
180390,2013-09-07,39
180520,2013-09-08,39
180670,2013-09-12,13
181040,2014-11-27,26
181140,2013-09-20,65
181190,2013-09-20,65
182080,2014-11-15,19.5
182420,2013-10-18,26
182850,2013-10-27,78
183200,2013-11-02,78
183490,2014-11-22,41.6
183810,2013-11-18,39
183940,2013-11-18,39
184080,2014-07-06,39
184360,2014-07-06,130
184460,2014-10-29,10.4
185400,2013-11-29,78
185960,2013-12-01,39
186440,2013-12-05,39
187060,2014-07-06,130
187070,2015-07-09,130
187650,2013-12-08,13
187900,2013-12-12,19.5
188070,2013-12-12,26
188600,2014-12-19,390
188620,2014-11-13,78
188960,2014-10-26,19.5
189660,2013-12-22,26
189700,2014-11-22,39
190000,2013-12-23,78
190030,2013-12-23,78
190160,2014-02-21,41.6
190380,2014-10-23,19.5
190520,2013-12-27,78
191000,2014-12-31,39
192400,2014-01-11,26
193050,2014-12-31,39
193920,2014-11-09,39
194140,2014-02-21,130
194430,2014-02-28,26
194820,2014-03-15,26
195530,2014-04-04,45.5
195820,2014-04-11,65
196640,2014-05-04,65
197220,2014-05-14,260
197460,2014-05-15,39
198070,2014-05-18,39
198110,2014-05-18,39
199030,2015-02-07,32.5
199960,2015-04-04,13
199960,2015-07-04,13
200030,2014-06-05,39
201050,2014-06-27,39
201570,2014-07-13,130
201690,2014-07-18,130
202000,2014-12-31,52
202830,2014-09-04,65
202880,2014-09-04,65
203860,2014-10-11,78
204040,2014-10-16,39
204320,2014-10-16,39
204840,2014-10-17,19.5
204980,2015-04-30,58.5
205060,2014-10-18,39
206500,2014-10-23,39
206780,2014-10-24,65
206950,2014-10-24,39
207010,2014-10-24,39
207070,2014-10-24,39
207090,2014-10-24,39
208440,2015-04-09,52
208470,2014-10-25,19.5
209560,2014-10-31,39
210380,2014-11-08,65
211040,2014-11-15,65
211700,2014-11-27,39
211800,2014-11-27,39
213110,2014-12-20,39
213210,2014-12-24,65
213730,2014-12-31,65
215170,2015-01-17,26
215300,2014-12-31,26
215370,2014-12-31,78
219340,2015-04-09,39
219420,2015-04-09,91
220170,2015-04-22,16.9
220400,2015-04-18,26
220840,2015-04-29,130
222070,2015-05-24,26
223550,2015-06-18,65
203120,2015-08-19,39
75360,2015-09-17,19.5
226140,2015-09-23,26
206530,2015-09-24,52
226220,2015-09-24,65
204890,2015-09-24,19.5
9360,2015-09-30,26
78180,2015-09-30,97.5
132510,2015-09-30,39
76010,2015-10-14,247
184670,2015-10-15,39
123910,2015-10-17,65
227060,2015-10-23,52
122080,2015-10-21,65
161440,2015-10-22,182
19150,2015-10-29,52
131450,2016-06-09,130
19690,2015-10-31,130
850,2015-10-31,39
139620,2015-10-31,39
229030,2015-10-28,39
229420,2015-11-08,78
198220,2016-06-05,26
229520,2015-11-08,26
230020,2015-11-13,32.5
132520,2015-10-28,156
230400,2015-11-12,39
71140,2015-11-14,78
134250,2015-11-18,65
189680,2015-11-19,234
206020,2015-11-19,78
231120,2015-11-21,50.7
176600,2015-11-21,65
209510,2015-11-21,39
59610,2015-11-25,26
10720,2015-11-25,39
61370,2015-11-26,58.5
79360,2015-11-26,65
153940,2016-06-03,39
83830,2015-11-28,39
90360,2015-12-02,130
230970,2015-12-03,39
13530,2015-12-05,39
12740,2015-12-09,65
188820,2015-12-09,39
480,2015-12-16,58.5
131980,2015-12-17,65
169220,2015-12-19,39
232580,2015-12-19,19.5
45410,2015-12-23,117
52510,2015-12-23,65
47490,2015-12-23,247
191010,2015-12-23,65
133250,2015-12-24,78
222340,2016-05-26,650
196000,2015-12-30,130
191850,2015-12-30,195
233410,2015-12-29,130
61520,2015-12-30,39
233580,2015-12-30,325
146450,2015-12-30,117
48130,2015-12-31,260
113840,2015-12-31,65
132570,2015-12-31,78
169380,2015-12-31,78
214850,2015-12-31,78
159670,2016-01-23,104
95830,2016-01-24,26
13300,2016-01-27,26
197270,2016-01-27,19.5
17770,2016-01-29,26
235160,2016-02-04,65
235320,2016-02-11,65
161500,2016-02-12,156
119430,2015-12-17,6.5
195130,2016-03-05,39
87200,2016-03-11,39
70080,2016-03-12,26
78450,2016-03-16,65
176680,2016-03-19,32.5
175480,2016-03-19,39
236500,2016-03-20,26
97740,2016-03-25,65
204860,2016-04-03,39
245660,2016-04-07,13
159770,2016-04-08,39
234650,2016-01-12,195
245840,2015-11-14,65
188780,2016-04-27,39
140710,2016-05-01,65
114360,2016-05-08,195
45300,2016-05-11,39
246310,2016-05-13,58.5
235590,2016-07-28,13
217820,2016-06-16,39
169270,2016-05-19,6.5
248050,2016-07-08,26
228460,2016-07-02,39
98340,2016-07-22,65
132380,2016-07-30,39
193600,2016-08-03,26
248950,2016-08-07,26
225390,2016-08-07,130
249000,2016-08-11,26
249120,2016-08-13,39
154010,2016-08-19,130
249300,2016-08-20,39
100580,2016-09-03,156
153670,2016-09-22,130
169020,2016-09-24,65
251070,2016-09-30,78
202250,2016-10-05,39
204690,2016-10-12,19.5
167350,2016-10-13,26
251850,2016-10-14,39
251760,2016-10-12,78
252040,2016-10-15,130
251980,2016-10-14,130
99640,2016-10-16,39
251960,2016-10-14,32.5
9520,2016-10-19,52
222260,2016-10-21,26
167850,2016-10-22,130
53650,2016-10-22,52
46490,2016-10-27,26
254090,2016-10-29,39
254140,2016-10-29,52
140090,2016-10-29,130
132300,2016-10-30,91
253450,2016-10-28,41.6
255510,2016-10-30,32.5
202860,2016-10-30,65
255380,2016-10-30,39
255390,2016-10-30,13
125110,2016-11-02,78
255950,2016-11-02,52
256430,2016-11-03,130
256470,2016-11-03,58.5
139970,2016-11-03,65
200100,2016-11-03,13
257450,2016-11-04,52
258420,2016-11-06,39
258930,2016-11-12,39
81190,2016-11-12,58.5
258860,2016-11-11,39
160300,2016-11-11,39
162210,2016-11-17,260
131960,2016-11-17,78
259560,2016-11-19,13
165920,2016-11-23,26
10640,2016-11-25,39
260110,2016-11-27,58.5
161980,2016-11-27,65
228110,2016-11-27,130
121130,2016-12-01,195
165980,2016-12-01,52
12840,2016-12-02,162.5
213410,2016-11-30,52
260550,2016-12-03,130
5560,2016-11-30,104
232650,2016-12-05,65
71620,2016-12-07,65
260660,2016-12-07,390
231690,2016-12-08,65
138550,2016-12-09,130
169630,2016-12-09,45.5
261130,2016-12-16,39
117550,2016-12-16,52
69460,2016-12-16,39
186900,2016-12-16,19.5
178190,2016-12-16,97.5
261350,2016-12-17,26
232020,2016-12-18,78
213360,2016-12-18,195
261540,2016-12-18,78
192560,2016-12-22,403
211880,2016-12-22,52
261930,2016-12-22,26
54990,2016-12-25,65
15110,2016-12-23,65
150600,2016-12-23,52
150640,2016-12-23,130
129100,2016-12-29,39
121420,2016-12-29,78
212510,2016-12-28,39
168510,2016-12-28,92.3
71880,2016-12-28,78
185470,2016-12-28,58.5
74610,2016-12-30,26
14130,2016-12-30,195
263090,2016-12-30,26
263320,2016-12-30,58.5
215360,2016-12-30,65
169460,2016-12-30,78
215330,2016-12-30,130
29760,2011-04-21,52
40780,2008-11-27,39
45520,2012-05-03,39
47080,2008-12-27,19.5
48030,2010-07-09,130
14410,2009-03-27,65
14770,2011-09-10,26
15140,2010-11-25,26
15530,2010-10-30,65
15880,2006-04-21,19.5
15910,2011-03-10,130
15980,2013-12-31,455
15980,2014-12-31,650
16210,2010-11-25,39
16500,2011-02-26,110.5
17260,2014-04-19,39
17270,2009-06-21,39
18570,2007-10-31,130
19220,2007-12-31,65
20220,2007-03-24,130
8820,2006-07-29,32.5
9140,2010-03-18,65
10720,2014-11-09,26
12730,2015-03-05,78
2600,2008-12-30,585
5560,2013-12-23,130
78050,2008-07-12,26
79050,2008-08-23,39
80450,2009-10-09,130
83080,2014-12-12,52
68140,2013-11-08,130
68660,2013-07-19,65
68790,2008-04-12,45.5
69460,2008-11-27,39
69740,2011-04-16,39
70560,2013-03-03,39
71360,2012-12-05,195
71570,2009-12-20,39
73290,2013-12-21,39
58080,2010-12-16,65
58760,2011-12-26,104
59270,2007-12-31,130
59380,2007-12-31,39
60050,2013-12-28,13
